id,resolved,first_observed,last_observed,observations,min_cust_aff,max_cust_aff,min_start,max_etr,last_cause,longitude,latitude,county,neighborhood
68191,1,"2022-09-24T00:04:36Z","2022-09-29T21:28:12Z",822,898,956,"2022-09-23T23:48:04Z","2022-10-02T02:01:00Z","High Winds and Rain",-62.54884,45.64812,"Pictou",
68199,1,"2022-09-24T00:14:36Z","2022-10-03T19:47:04Z",1387,4,4,,,,-62.6843,45.66368,"Pictou",
68217,1,"2022-09-24T00:34:37Z","2022-10-03T22:16:47Z",1400,4,4,"2022-09-24T00:18:01Z","2022-10-07T02:00:00Z","High Winds and Rain",-62.66992,45.50388,"Pictou",
68214,1,"2022-09-24T00:34:37Z","2022-10-02T01:07:35Z",1129,20,21,"2022-09-24T00:08:03Z","2022-10-03T02:00:00Z","High Winds and Rain",-61.96914,45.38497,"Guysborough",
68221,1,"2022-09-24T00:34:37Z","2022-09-30T15:28:00Z",927,4,4,"2022-09-23T23:47:38Z","2022-10-03T02:00:00Z","High Winds and Rain",-62.43125,45.57549,"Pictou",
68213,1,"2022-09-24T00:34:37Z","2022-09-29T20:58:13Z",816,258,272,"2022-09-24T00:18:40Z","2022-10-02T02:00:00Z","High Winds and Rain",-62.20822,45.38431,"Pictou",
68216,1,"2022-09-24T00:34:37Z","2022-09-29T19:38:09Z",808,623,640,"2022-09-24T00:18:26Z","2022-09-30T02:00:00Z","High Winds and Rain",-60.51011,46.0875,"Cape Breton",
68215,1,"2022-09-24T00:34:37Z","2022-09-29T17:08:02Z",793,980,1033,"2022-09-24T00:11:00Z","2022-10-01T02:00:00Z","High Winds and Rain",-62.33506,45.62026,"Pictou",
68241,1,"2022-09-24T00:54:37Z","2022-10-06T13:15:41Z",1758,4,4,"2022-09-24T00:44:00Z","2022-10-07T02:00:00Z","High Winds and Rain",-62.81792,45.76158,"Pictou",
68238,1,"2022-09-24T00:54:37Z","2022-10-05T23:05:51Z",1690,4,4,"2022-09-24T00:48:47Z","2022-10-10T02:01:00Z","High Winds and Rain",-62.08635,45.3826,"Guysborough",
68246,1,"2022-09-24T00:54:37Z","2022-09-29T17:08:02Z",791,4,4,"2022-09-24T00:35:12Z","2022-10-05T02:00:00Z","High Winds and Rain",-61.9842,45.13881,"Guysborough",
68307,1,"2022-09-24T01:14:39Z","2022-09-30T20:47:52Z",955,4,4,"2022-09-24T00:40:18Z","2022-10-02T02:00:00Z","High Winds and Rain",-63.61669,44.80139,"Halifax",
